|                               Benchmark |     pgi_s |     pgi_v |   clang_s |   clang_v |     gcc_s |     gcc_v |     icc_s |     icc_v |
|              conv_i232_kc_w_c_kh_h_kw_c |     94807 |     94802 |     96081 |     94081 |    141580 |    141573 |     96184 |     59546 |
|              conv_i232_kc_w_c_kh_kw_h_c |    718499 |    715324 |    723260 |    667587 |    717707 |    719876 |    729458 |    725964 |
|              conv_i232_kc_w_c_kw_h_kh_c |     93213 |    126800 |    139613 |    105743 |     66365 |     66342 |     96204 |     59538 |
|              conv_i232_kc_w_c_kw_kh_h_c |    715571 |    716139 |    725787 |    665515 |    717439 |    722127 |    726715 |    723457 |
|              conv_i232_kc_w_kh_h_c_kw_c |     69691 |    168166 |     70150 |     60631 |     61707 |     61237 |     96185 |     59572 |
|              conv_i232_kc_w_kh_h_kw_c_c |    176578 |     94744 |    113985 |     71547 |    167714 |     72002 |    116828 |     15207 |
|              conv_i232_kc_w_kh_c_h_kw_c |     94727 |     94723 |     94726 |     99306 |    139414 |    139384 |     96185 |     59125 |
|              conv_i232_kc_w_kh_c_kw_h_c |    719913 |    715633 |    725116 |    657773 |    715077 |    717803 |    724313 |    724503 |
|              conv_i232_kc_w_kh_kw_h_c_c |    168171 |    718869 |    115882 |     57676 |    143081 |     72319 |    117188 |     18667 |
|              conv_i232_kc_w_kh_kw_c_h_c |    730781 |    168167 |    736009 |    606792 |    714042 |    701829 |    733089 |    742013 |
|              conv_i232_kc_w_kw_h_c_kh_c |     72240 |    168160 |     72598 |     59271 |     63117 |     63118 |     96220 |     59165 |
|              conv_i232_kc_w_kw_h_kh_c_c |    169869 |    126293 |    114380 |     72306 |    171720 |     72394 |    116827 |     12209 |
|              conv_i232_kc_w_kw_c_h_kh_c |     93189 |    126276 |    143139 |    109931 |     67831 |     67849 |     96200 |     59141 |
|              conv_i232_kc_w_kw_c_kh_h_c |    714893 |    717773 |    721190 |    670621 |    713130 |    720699 |    729044 |    722374 |
|              conv_i232_kc_w_kw_kh_h_c_c |    168159 |    715889 |    121610 |     57277 |    167856 |     72332 |    117236 |     18729 |
|              conv_i232_kc_w_kw_kh_c_h_c |    753316 |    168158 |    737095 |    606543 |    721949 |    724577 |    744243 |    736090 |
|              conv_i232_kc_c_h_w_kh_kw_c |    243180 |    245308 |    171303 |    171306 |    143738 |    143721 |     96185 |     59546 |
|              conv_i232_kc_c_h_w_kw_kh_c |    241589 |    241545 |    170338 |    170338 |    124994 |    124961 |     96210 |     59551 |
|              conv_i232_kc_c_h_kh_w_kw_c |     68227 |     90446 |    124604 |     73540 |     55148 |     43441 |     96187 |     59562 |
|              conv_i232_kc_c_h_kh_kw_w_c |    120612 |    120634 |    131345 |    156931 |    178390 |    178362 |    120417 |    120415 |
|              conv_i232_kc_c_h_kw_w_kh_c |     67449 |     67448 |     68144 |     73258 |    120370 |    120356 |     96204 |     59546 |
|              conv_i232_kc_c_h_kw_kh_w_c |    120550 |    120551 |    113588 |    165299 |    176737 |    176714 |    121362 |    121355 |
|              conv_i232_kc_c_w_h_kh_kw_c |    249166 |    249093 |    170712 |    170707 |    133649 |    133680 |     96197 |     59586 |
|              conv_i232_kc_c_w_h_kw_kh_c |    249199 |    249220 |    171365 |    171299 |    128650 |    128697 |     96211 |     59567 |
|              conv_i232_kc_c_w_kh_h_kw_c |     95158 |     95201 |     96383 |     95414 |    142485 |    142479 |     96210 |     59542 |
|              conv_i232_kc_c_w_kh_kw_h_c |    715572 |    711819 |    723702 |    652676 |    723177 |    710454 |    723263 |    732812 |
|              conv_i232_kc_c_w_kw_h_kh_c |     92976 |    126718 |    143800 |    105693 |     66078 |     66113 |     96193 |     59586 |
|              conv_i232_kc_c_w_kw_kh_h_c |    709957 |    716847 |    728028 |    629149 |    715449 |    728518 |    728297 |    724598 |
|              conv_i232_kc_c_kh_h_w_kw_c |     76622 |    100086 |    122382 |     83396 |     57390 |     44712 |     96184 |     59542 |
|              conv_i232_kc_c_kh_h_kw_w_c |    162969 |    162933 |    146580 |    173038 |    185752 |    185701 |    133666 |    133693 |
|              conv_i232_kc_c_kh_w_h_kw_c |     94279 |     94191 |     94728 |     97566 |    120915 |    120888 |     96193 |     59552 |
|              conv_i232_kc_c_kh_w_kw_h_c |    703023 |    699594 |    716416 |    635667 |    702695 |    705304 |    705097 |    706086 |
|              conv_i232_kc_c_kh_kw_h_w_c |    379934 |    697240 |    379954 |    380607 |    379925 |    379916 |    380200 |    380213 |
|              conv_i232_kc_c_kh_kw_w_h_c |    573722 |    151577 |    569438 |    594889 |    547700 |    543823 |    578800 |    571240 |
|              conv_i232_kc_c_kw_h_w_kh_c |     74970 |     76579 |     75994 |     82278 |    126407 |    126395 |     96210 |     59142 |
|              conv_i232_kc_c_kw_h_kh_w_c |    162909 |    162884 |    125644 |    172918 |    212693 |    211443 |    134415 |    134411 |
|              conv_i232_kc_c_kw_w_h_kh_c |     92251 |    125630 |    138489 |    107983 |     65983 |     65906 |     96214 |     59177 |
|              conv_i232_kc_c_kw_w_kh_h_c |    702800 |    700973 |    714339 |    661187 |    705456 |    700266 |    709636 |    706401 |
|              conv_i232_kc_c_kw_kh_h_w_c |    379909 |    702110 |    379958 |    380567 |    379929 |    379920 |    380209 |    380202 |
|              conv_i232_kc_c_kw_kh_w_h_c |    579796 |    152640 |    581899 |    589243 |    499149 |    519847 |    577580 |    572128 |
|              conv_i232_kc_kh_h_w_c_kw_c |     68657 |    168182 |     68407 |     60883 |     60592 |     60554 |     96217 |     59552 |
|              conv_i232_kc_kh_h_w_kw_c_c |    176711 |     92340 |    114183 |     74493 |    172015 |     72233 |     62931 |     62921 |
|              conv_i232_kc_kh_h_c_w_kw_c |     69477 |     92419 |    117643 |     76874 |     57172 |     43855 |     96184 |     59162 |
|              conv_i232_kc_kh_h_c_kw_w_c |    120839 |    120769 |    131245 |    159294 |    205500 |    205853 |     62708 |     62706 |
|              conv_i232_kc_kh_h_kw_w_c_c |    168199 |    120839 |    107711 |     55015 |    167129 |     72472 |     62916 |     62922 |
|              conv_i232_kc_kh_h_kw_c_w_c |    118901 |    168189 |    131445 |    150339 |    174326 |    174482 |     62949 |     62934 |
|              conv_i232_kc_kh_w_h_c_kw_c |     69609 |    168214 |     70050 |     62242 |     61479 |     61087 |     96211 |     59552 |
|              conv_i232_kc_kh_w_h_kw_c_c |    176494 |     96926 |    117410 |     73430 |    172156 |     72543 |     62933 |     62929 |
|              conv_i232_kc_kh_w_c_h_kw_c |     97056 |     96854 |     96530 |    104073 |    142164 |    141842 |     96180 |     59158 |
|              conv_i232_kc_kh_w_c_kw_h_c |    716743 |    718930 |    722524 |    642853 |    722888 |    720599 |     62715 |     62716 |
|              conv_i232_kc_kh_w_kw_h_c_c |    168216 |    716278 |    116833 |     59196 |    144000 |     73800 |     62946 |     62934 |
|              conv_i232_kc_kh_w_kw_c_h_c |    742409 |    168215 |    745519 |    623047 |    726635 |    734400 |     62922 |     63039 |
|              conv_i232_kc_kh_c_h_w_kw_c |     76813 |    101534 |    128868 |     84224 |     57813 |     45428 |     96217 |     59569 |
|              conv_i232_kc_kh_c_h_kw_w_c |    134663 |    134778 |    146826 |    174408 |    215649 |    215177 |     62707 |     62719 |
|              conv_i232_kc_kh_c_w_h_kw_c |     95008 |     95507 |     96506 |     94169 |    122970 |    122115 |     96213 |     59576 |
|              conv_i232_kc_kh_c_w_kw_h_c |    707517 |    696775 |    717763 |    669856 |    698464 |    709449 |     62714 |     62696 |
|              conv_i232_kc_kh_c_kw_h_w_c |    380421 |    695579 |    380427 |    380976 |    380495 |    380283 |     62923 |     62933 |
|              conv_i232_kc_kh_c_kw_w_h_c |    569427 |    152172 |    575277 |    589807 |    537450 |    579242 |     62924 |     62943 |
|              conv_i232_kc_kh_kw_h_w_c_c |    168368 |    168304 |    125004 |     61989 |    136427 |     78835 |     62934 |     62919 |
|              conv_i232_kc_kh_kw_h_c_w_c |    169127 |    168294 |    119822 |    172546 |    189337 |    188856 |     62707 |     62714 |
|              conv_i232_kc_kh_kw_w_h_c_c |    168428 |    168375 |    127151 |     75070 |    167038 |     84243 |     62936 |     62924 |
|              conv_i232_kc_kh_kw_w_c_h_c |    732131 |    168360 |    737544 |    597462 |    723433 |    715364 |     62697 |     62722 |
|              conv_i232_kc_kh_kw_c_h_w_c |    386406 |    383180 |    384304 |    384482 |    384316 |    384453 |     62715 |     62699 |
|              conv_i232_kc_kh_kw_c_w_h_c |    575670 |    571502 |    576391 |    594412 |    563094 |    548343 |     62706 |     62697 |
|              conv_i232_kc_kw_h_w_c_kh_c |     71462 |    168138 |     72290 |     59162 |     62929 |     63335 |     96199 |     59557 |
|              conv_i232_kc_kw_h_w_kh_c_c |    176673 |     68322 |    114219 |     73028 |    144256 |     72875 |     62018 |     61997 |
|              conv_i232_kc_kw_h_c_w_kh_c |     68436 |     68456 |     70243 |     79300 |    121300 |    121236 |     96207 |     59551 |
|              conv_i232_kc_kw_h_c_kh_w_c |    121358 |    121212 |    111019 |    165506 |    203441 |    203917 |     61937 |     61913 |
|              conv_i232_kc_kw_h_kh_w_c_c |    168150 |    121303 |    103235 |     54821 |    139962 |     72496 |     62113 |     62110 |
|              conv_i232_kc_kw_h_kh_c_w_c |    118761 |    168145 |    102015 |    157437 |    174375 |    174395 |     62109 |     62106 |
|              conv_i232_kc_kw_w_h_c_kh_c |     72345 |    168206 |     72748 |     59786 |     62774 |     62738 |     96196 |     59547 |
|              conv_i232_kc_kw_w_h_kh_c_c |    176591 |    128846 |    116341 |     75195 |    167654 |     73209 |     62004 |     62011 |
|              conv_i232_kc_kw_w_c_h_kh_c |     94384 |    128793 |    146296 |    115126 |     69381 |     69273 |     96189 |     59572 |
|              conv_i232_kc_kw_w_c_kh_h_c |    722107 |    715803 |    725243 |    668321 |    718846 |    715864 |     62216 |     61934 |
|              conv_i232_kc_kw_w_kh_h_c_c |    168207 |    716265 |    123099 |     58898 |    167221 |     73474 |     62115 |     62121 |
|              conv_i232_kc_kw_w_kh_c_h_c |    748721 |    168198 |    736722 |    605682 |    707615 |    733722 |     62135 |     62108 |
|              conv_i232_kc_kw_c_h_w_kh_c |     76060 |     76817 |     77024 |     83047 |    126626 |    126502 |     96215 |     59145 |
|              conv_i232_kc_kw_c_h_kh_w_c |    134424 |    134330 |    126369 |    174133 |    213649 |    213649 |     61938 |     61943 |
|              conv_i232_kc_kw_c_w_h_kh_c |     94035 |    127946 |    145813 |    107419 |     67088 |     67119 |     96220 |     59178 |
|              conv_i232_kc_kw_c_w_kh_h_c |    696261 |    697012 |    707740 |    636961 |    713413 |    698900 |     61922 |     61922 |
|              conv_i232_kc_kw_c_kh_h_w_c |    380331 |    694770 |    380392 |    380986 |    380333 |    380410 |     62111 |     62103 |
|              conv_i232_kc_kw_c_kh_w_h_c |    584656 |    152998 |    571005 |    578352 |    528971 |    510776 |     62114 |     62106 |
|              conv_i232_kc_kw_kh_h_w_c_c |    168374 |    168255 |    124806 |     62090 |    136111 |     78089 |     61355 |     61346 |
|              conv_i232_kc_kw_kh_h_c_w_c |    147312 |    168273 |    120994 |    172148 |    189282 |    191358 |     61358 |     61371 |
|              conv_i232_kc_kw_kh_w_h_c_c |    168494 |    168320 |    128227 |     74934 |    166968 |     86187 |     61364 |     61362 |
|              conv_i232_kc_kw_kh_w_c_h_c |    741424 |    168366 |    746695 |    603944 |    739062 |    721736 |     61364 |     61343 |
|              conv_i232_kc_kw_kh_c_h_w_c |    384326 |    384618 |    385627 |    385570 |    384734 |    385616 |     61349 |     61370 |
|              conv_i232_kc_kw_kh_c_w_h_c |    573493 |    576848 |    573841 |    584413 |    547586 |    561822 |     61369 |     61345 |
